 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
     1     1050      3      1       0.0000000000   1997
    12     1050      3      1      13.6499938644   1997
    12     1051      3      2       9.2467700372   1997
    19     1056      3      1       0.0000000000   1997
    22     1083      3      1       0.0000000000   1997
    23      637      4      1       0.0000000000   1997
    23     1083      3      2       0.0000000000   1997
    56     1050      3      1      21.3381718975   1997
    56     1095      3      2      16.0036289232   1997
    56     1096      3      3       0.0000000000   1997
    57     1109      4      1       0.0000000000   1997
    58     1111      4      1       0.0000000000   1997
    62     1127      4      1      32.3040371464   1997
    67     1133      3      1       0.0000000000   1997
    69      909      3      1      15.3513621978   1997
    70     1050      3      1      29.7975664129   1997
    72      909      3      1      42.4574414524   1997
    73     1026      3      1       1.5582257935   1997
    74     1145      4      1       0.0000000000   1997
    78      644      3      1      25.5724811191   1997
    78     1050      3      2       0.0000000000   1997
    79     1224      3      1     115.8339919457   1997
    96     1721      5      1       0.0000000000   1997
    97     1215      4      1       0.0000000000   1997
    98     1225      3      1      70.0113961819   1997
    99     1224      3      1      79.5364864347   1997
   100     1050      3      1       4.7415108018   1997
   100     1224      3      2       1.6595287806   1997
   101     1225      3      1     232.0350603208   1997
   102      635      4      1      22.7614491567   1997
   103      637      4      1     132.8588904768   1997
   104      637      4      1       0.0000000000   1997
   105      643      3      1       1.5412885566   1997
   106      644      3      1      16.5120893521   1997
   107      656      4      1      84.0000000000   1997
   108     1259      4      1       0.0000000000   1997
   109      661      3      1       0.8892049365   1997
   111     1050      3      1       6.5038989643   1997
   112     1225      3      1     327.6994849440   1997
   113      661      3      1       0.8892049365   1997
   113     1050      3      2       0.0000000000   1997
   113     1593      3      3       0.0000000000   1997
   115     1224      3      1     468.8847084464   1997
   116     1225      3      1       0.2540585533   1997
   118      643      3      1     198.8009045450   1997
   119     1050      3      1     118.0303792926   1997
   120      643      3      1      67.6578068995   1997
   120     1050      3      2       0.0000000000   1997
   121     1056      3      1       2.5913972436   1997
   122     1312      4      1       4.6153970515   1997
   123     1186      4      1       0.0000000000   1997
   124     1318      4      1       0.0000000000   1997
   125     1320      4      1     113.0000000000   1997
   126     1322      4      1       0.0000000000   1997
   127     1358      3      1       0.0000000000   1997
   128     1361      3      1       0.0000000000   1997
   129      635      4      1      35.2385508433   1997
   129     1364      4      2      87.0000000000   1997
   131     1224      3      1     107.9878169582   1997
   132     1050      3      1      14.3821403078   1997
   132     1224      3      2       5.0974674343   1997
   133      475      2      1       0.0000000000   1997
   134     1050      3      1      24.5563384585   1997
   134     1095      3      2      19.4757167085   1997
   135     1440      4      1       8.1678702291   1997
   136      840      4      1       0.0000000000   1997
   137     1507      4      1       0.0000000000   1997
   138      511      1      1     158.0927893712   1997
   138      512      1      2       0.0000000000   1997
   138     1495      4      3       0.0000000000   1997
   139      511      1      1      48.6484787733   1997
   139      513      1      2       0.0000000000   1997
   139     1496      4      3       0.0000000000   1997
   140      511      1      1      32.4523467538   1997
   140      514      1      2       0.0000000000   1997
   140     1495      4      3       0.0000000000   1997
   141     1255      3      1      16.9354058335   1997
   142      862      4      1       0.0000000000   1997
   143      909      3      1      68.4527812897   1997
   144      916      3      1       0.0000000000   1997
