Subbasin,LANDUSE,SOIL,SLOPE_BAND,AREA (ha),%SUBBASIN,HRUGIS
1,zuxs,64442,0-2.0,17.00000,0.58975,000010001
1,RNGB,64587,0-2.0,90.00000,3.20380,000010002
1,RNGB,64588,0-2.0,441.00000,15.61733,000010003
1,RNGB,64496,0-2.0,66.00000,2.32076,000010004
1,RNGB,64496,2.0-5.0,7.00000,0.24547,000010005
1,RNGB,64466,0-2.0,64.00000,2.26657,000010006
1,RNGB,64466,2.0-5.0,7.00000,0.23271,000010007
1,RNGB,64466,5.0-9999,6.00000,0.20084,000010008
1,RNGB,64442,0-2.0,56.00000,1.99560,000010009
1,RNGB,64442,2.0-5.0,44.00000,1.54292,000010010
1,RNGB,64442,5.0-9999,8.00000,0.27416,000010011
1,zuxq,64480,0-2.0,2.00000,0.08288,000010012
1,CORN,64554,0-2.0,1.00000,0.04782,000010013
1,CORN,64554,2.0-5.0,1.00000,0.03188,000010014
1,CORN,64436,0-2.0,0.00000,0.01594,000010015
1,CORN,64436,2.0-5.0,0.00000,0.00956,000010016
1,CORN,64442,0-2.0,1.00000,0.02869,000010017
1,CORN,64442,2.0-5.0,0.00000,0.00319,000010018
1,zuwx,64442,2.0-5.0,6.00000,0.19765,000010019
1,RYE,64442,0-2.0,0.00000,0.01275,000010020
1,OATS,64442,0-2.0,0.00000,0.00319,000010021
1,zuuy,64442,2.0-5.0,8.00000,0.27097,000010022
1,zuux,64442,2.0-5.0,8.00000,0.28691,000010023
1,URLD,64555,2.0-5.0,7.00000,0.24228,000010025
1,URLD,64555,5.0-9999,13.00000,0.47499,000010026
1,URLD,64587,0-2.0,20.00000,0.69814,000010024
1,URLD,64588,0-2.0,33.00000,1.17951,000010027
1,URLD,64496,0-2.0,66.00000,2.32395,000010028
1,URLD,64496,2.0-5.0,6.00000,0.19765,000010029
1,URLD,64466,0-2.0,44.00000,1.57480,000010030
1,URLD,64466,2.0-5.0,5.00000,0.18808,000010031
1,URLD,64442,0-2.0,36.00000,1.26239,000010032
1,URLD,64442,2.0-5.0,21.00000,0.75234,000010033
1,URLD,64442,5.0-9999,4.00000,0.13708,000010034
1,URLD,64571,2.0-5.0,3.00000,0.11158,000010035
1,URLD,64571,5.0-9999,16.00000,0.57063,000010036
1,URMD,64555,0-2.0,1.00000,0.04144,000010042
1,URMD,64555,2.0-5.0,5.00000,0.18808,000010043
1,URMD,64555,5.0-9999,8.00000,0.28372,000010044
1,URMD,64554,0-2.0,8.00000,0.28053,000010039
1,URMD,64554,2.0-5.0,9.00000,0.31879,000010040
1,URMD,64554,5.0-9999,3.00000,0.08926,000010041
1,URMD,64587,0-2.0,12.00000,0.43674,000010037
1,URMD,64587,2.0-5.0,3.00000,0.11795,000010038
1,URMD,64496,0-2.0,27.00000,0.94042,000010045
1,URMD,64496,2.0-5.0,4.00000,0.15302,000010046
1,URMD,64466,0-2.0,64.00000,2.26019,000010047
1,URMD,64442,0-2.0,61.00000,2.16775,000010048
1,URMD,64442,2.0-5.0,28.00000,0.98824,000010049
1,URMD,64571,2.0-5.0,4.00000,0.13070,000010050
1,URMD,64571,5.0-9999,10.00000,0.34110,000010051
1,ALFA,64554,0-2.0,6.00000,0.22634,000010052
1,ALFA,64554,2.0-5.0,1.00000,0.03825,000010053
1,ALFA,64588,0-2.0,26.00000,0.92129,000010054
