HRU_ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
5453,52,52,52,16,1,52,52,52,52,52,52,52
2474,52,52,52,52,5,52,52,52,52,52,52,52
495,1,16,12,16,16,16,16,16,16,31,1,28
494,27,16,12,16,16,16,16,16,16,31,1,28
497,1,16,12,16,16,16,16,16,16,31,1,28
496,1,16,12,16,16,16,16,16,16,31,1,28
491,1,28,1,28,1,28,1,28,1,28,1,28
490,16,1,12,1,16,16,1,1,1,1,16,16
493,27,16,12,16,16,16,16,16,16,31,1,28
492,1,28,1,28,1,28,1,28,1,1,1,1
499,27,16,12,16,16,16,16,16,16,31,1,28
498,1,16,12,16,16,16,16,16,16,31,1,28
5452,52,52,12,52,52,52,52,52,52,52,52,52
5451,52,122,122,81,81,81,19,1,19,63,27,19
3999,27,27,27,27,27,28,27,27,27,27,27,28
4001,28,1,28,1,28,1,28,1,28,1,28,1
4000,28,1,28,1,28,1,28,1,28,1,28,1
2470,52,52,12,52,5,52,52,52,52,52,52,52
3994,52,52,52,52,52,52,52,52,52,52,52,52
2471,52,52,52,52,5,52,52,52,52,52,52,52
4002,27,1,28,1,28,1,28,1,28,1,28,1
3996,52,52,52,52,52,52,52,28,28,27,27,1
3997,52,52,52,52,52,52,52,28,28,27,27,1
4007,28,1,28,1,28,1,28,1,28,1,28,1
9748,52,31,28,27,52,52,52,52,52,27,28,52
9747,52,27,27,70,52,52,52,52,52,52,52,31
9478,27,28,1,28,1,28,1,28,1,28,1,28
9477,52,52,52,28,52,52,52,52,27,52,52,52
9742,52,52,52,27,52,52,52,52,52,27,28,52
9473,1,28,1,28,1,28,1,28,1,28,1,27
9476,28,1,28,1,28,1,28,1,28,1,28,1
9739,52,52,52,52,5,63,5,5,52,52,52,52
9470,28,1,28,1,28,1,28,1,28,1,28,1
9469,28,1,28,1,28,1,28,1,28,1,28,1
9472,63,28,52,52,52,28,52,52,52,52,27,28
9471,52,52,52,52,28,52,28,52,52,52,52,52
6150,63,70,28,43,70,28,63,70,28,63,70,1
6151,5,70,28,19,70,28,63,70,28,63,70,28
6148,63,70,28,43,70,28,63,70,28,63,70,1
6149,63,70,28,43,70,28,63,70,28,63,70,1
6146,28,16,12,16,16,16,16,16,16,16,16,16
6147,63,70,28,43,70,28,63,70,28,63,70,1
6144,28,70,28,28,70,28,28,70,28,28,63,70
6145,63,70,28,28,70,28,63,70,28,63,70,1
6142,27,52,52,52,27,5,52,52,52,52,52,52
6143,27,52,52,52,27,5,52,52,52,52,52,52
5982,1,28,12,28,1,28,1,1,1,1,1,1
5983,1,28,1,28,1,28,1,28,1,28,1,28
5976,1,16,28,1,28,1,28,1,28,1,28,1
5977,1,16,1,27,1,28,1,28,1,28,1,28
