HRU_ID,2012,2013,2014,2015,2016
962,19,19,19,19,19
1711,5,5,5,5,5
1698,5,5,5,5,5
2996,2,2,2,2,2
501,2,2,2,2,2
500,2,2,2,2,2
746,2,2,2,2,2
745,2,2,2,2,2
748,2,2,2,2,2
747,2,2,2,2,2
742,5,5,5,5,5
741,2,2,2,2,2
744,2,2,2,2,2
743,2,2,2,2,2
750,2,2,2,2,2
749,2,2,2,2,2
2993,2,2,2,2,2
1162,8,-999,-999,-999,-999
1161,8,-999,-999,-999,-999
1156,8,-999,-999,-999,-999
1155,8,-999,-999,-999,-999
1154,8,-999,-999,-999,-999
1153,8,-999,-999,-999,-999
1160,8,-999,-999,-999,-999
1159,8,-999,-999,-999,-999
1158,8,-999,-999,-999,-999
1157,8,-999,-999,-999,-999
219,15,-999,-999,-999,-999
218,5,5,5,5,5
1985,16,-999,-999,-999,-999
211,5,5,5,5,5
210,5,5,5,5,5
213,5,5,5,5,5
212,52,52,52,52,52
215,5,5,5,5,5
214,15,-999,-999,-999,-999
217,2,2,2,2,2
216,5,5,5,5,5
189,15,-999,-999,-999,-999
188,2,2,2,2,2
181,2,2,2,2,2
180,2,2,2,2,2
183,15,-999,-999,-999,-999
182,16,-999,-999,-999,-999
185,16,-999,-999,-999,-999
184,2,2,2,2,2
187,2,2,2,2,2
186,2,2,2,2,2
1983,16,-999,-999,-999,-999
2448,2,2,2,2,2
662,2,2,2,2,2
2447,2,2,2,2,2
2446,2,2,2,2,2
2445,2,2,2,2,2
2444,2,2,2,2,2
1697,2,2,2,2,2
2443,15,-999,-999,-999,-999
1663,2,2,2,2,2
2442,15,-999,-999,-999,-999
2441,2,2,2,2,2
2193,2,2,2,2,2
2194,2,2,2,2,2
2467,2,2,2,2,2
1016,-999,-999,-999,-999,-999
2192,2,2,2,2,2
2197,2,2,2,2,2
2198,2,2,2,2,2
2463,16,-999,-999,-999,-999
2464,2,2,2,2,2
1015,2,2,2,2,2
2404,2,2,2,2,2
3185,28,19,28,19,28
3246,2,2,2,2,2
3247,52,52,19,4,19
2880,18,-999,-999,-999,-999
2881,15,-999,-999,-999,-999
2878,-999,-999,-999,-999,-999
2879,18,-999,-999,-999,-999
2876,18,-999,-999,-999,-999
2877,18,-999,-999,-999,-999
2874,18,-999,-999,-999,-999
2875,18,-999,-999,-999,-999
2872,18,-999,-999,-999,-999
2873,18,-999,-999,-999,-999
1491,28,19,28,19,28
3245,2,2,2,2,2
1955,16,-999,-999,-999,-999
1956,16,-999,-999,-999,-999
1957,16,-999,-999,-999,-999
1958,16,-999,-999,-999,-999
1951,16,-999,-999,-999,-999
1952,16,-999,-999,-999,-999
1953,16,-999,-999,-999,-999
1954,16,-999,-999,-999,-999
1959,16,-999,-999,-999,-999
1960,16,-999,-999,-999,-999
452,16,-999,-999,-999,-999
2144,15,-999,-999,-999,-999
2145,2,2,2,2,2
2479,2,2,2,2,2
2146,15,-999,-999,-999,-999
2147,2,2,2,2,2
