PRIO,WRID,SRC,HRU
1,186,3,462
2,74,3,504
3,74,3,736
4,74,3,737
5,74,3,1043
6,79,3,2886
7,79,3,3216
8,82,3,598
9,82,3,599
10,82,3,659
11,82,3,776
12,82,3,833
13,91,3,3117
14,202,3,3036
15,88,3,584
16,88,3,651
17,88,3,729
18,88,3,749
19,88,3,750
20,88,3,867
21,88,3,891
22,229,3,3289
23,124,3,1856
24,124,3,1857
25,124,3,1859
26,124,3,1860
27,124,3,1861
28,124,3,1875
29,124,3,1876
30,124,3,1908
31,124,3,1909
32,124,3,1939
33,124,3,2083
34,124,3,2084
35,124,3,2085
36,124,3,2086
37,124,3,2163
38,124,3,2164
39,124,3,2168
40,124,3,2169
41,124,3,2218
42,124,3,2263
43,124,3,2265
44,124,3,2266
45,124,3,2295
46,124,3,2322
47,124,3,2323
48,124,3,2327
49,124,3,2328
50,124,3,2434
51,124,3,2435
52,124,3,2466
53,124,3,2513
54,124,3,2515
55,124,3,2533
56,124,3,2542
57,238,3,1872
58,238,3,2128
59,238,3,2192
60,238,3,2291
61,238,3,2292
62,238,3,2370
63,238,3,2371
64,238,3,2372
65,238,3,2373
66,238,3,2400
67,238,3,2402
68,238,3,2404
69,238,3,2516
70,238,3,2518
71,238,3,2523
72,105,3,1169
73,217,3,3409
74,116,3,1219
75,116,3,1233
76,116,3,1462
77,116,3,1471
78,116,3,1507
79,116,3,1729
80,127,3,3047
81,127,3,3071
82,127,3,3081
83,127,3,3292
84,127,3,3397
85,230,3,216
86,230,3,217
87,230,3,288
88,230,3,292
89,230,3,309
90,230,3,310
91,230,3,312
92,230,3,313
93,230,3,326
94,230,3,392
95,230,3,393
96,230,3,394
97,230,3,410
98,230,3,420
99,230,3,454
100,128,3,2286
101,128,3,2350
102,140,3,2246
103,140,3,2351
104,83,3,590
105,94,3,507
106,94,3,511
107,94,3,789
108,94,3,791
109,94,3,797
110,94,3,838
111,94,3,1062
112,94,3,1069
113,89,3,537
114,89,3,578
115,89,3,604
116,89,3,605
117,89,3,622
118,89,3,806
119,89,3,849
120,89,3,869
121,89,3,872
122,111,3,1106
123,111,3,1771
124,111,3,1781
125,85,3,2819
126,85,3,2820
127,114,3,1176
128,114,3,1177
129,114,3,1182
130,114,3,1183
131,114,3,1211
132,114,3,1216
133,114,3,1222
134,114,3,1223
135,114,3,1265
136,114,3,1325
137,114,3,1357
138,114,3,1741
139,114,3,1847
140,99,3,1212
141,99,3,1246
142,99,3,1326
143,99,3,1410
144,99,3,1426
145,99,3,1706
146,99,3,1707
147,99,3,1708
148,99,3,1772
149,99,3,1802
150,100,3,2149
151,100,3,2473
152,87,3,1192
153,87,3,1193
154,87,3,1290
155,106,3,538
156,106,3,548
157,106,3,620
158,106,3,760
159,122,3,6
160,122,3,7
161,122,3,8
162,122,3,9
163,122,3,39
164,122,3,65
165,122,3,66
166,122,3,69
167,122,3,74
168,122,3,84
169,122,3,85
170,122,3,142
171,122,3,143
172,122,3,215
173,122,3,267
174,122,3,268
175,122,3,272
176,122,3,327
177,122,3,366
178,122,3,368
179,122,3,370
180,122,3,407
181,122,3,408
182,122,3,409
183,122,3,423
184,122,3,480
185,122,3,484
186,122,3,485
187,108,3,96
188,98,3,1715
189,120,3,3002
190,120,3,3403
191,109,3,127
192,109,3,481
193,86,3,3042
194,86,3,3076
195,86,3,3126
196,86,3,3281
197,129,3,1978
198,129,3,2247
199,129,3,2529
200,126,3,444
201,139,3,799
202,118,3,616
203,118,3,617
204,118,3,654
205,118,3,676
206,118,3,677
207,118,3,843
208,182,3,555
209,182,3,596
210,182,3,597
211,182,3,601
212,182,3,603
213,182,3,639
214,182,3,679
215,182,3,680
216,182,3,740
217,182,3,756
218,182,3,812
219,182,3,813
220,182,3,815
221,182,3,893
222,182,3,910
223,182,3,911
224,182,3,947
225,182,3,960
226,182,3,988
227,182,3,1053
228,182,3,1054
229,182,3,1055
230,182,3,1056
231,182,3,1058
232,182,3,1059
233,130,3,1084
234,130,3,1431
235,130,3,1432
236,130,3,1463
237,130,3,1473
238,130,3,1713
239,130,3,1725
240,130,3,1739
241,141,3,2376
242,135,3,3083
243,135,3,3120
244,125,3,1490
245,133,3,479
246,119,3,94
247,180,3,1179
248,180,3,1476
249,180,3,1701
250,144,3,98
251,144,3,99
252,144,3,247
253,153,3,1189
254,153,3,1302
255,153,3,1726
256,153,3,1753
257,153,3,1760
258,153,3,1767
259,145,3,2179
260,145,3,2268
261,145,3,2657
262,132,3,533
263,132,3,534
264,132,3,552
265,132,3,576
266,132,3,577
267,132,3,579
268,132,3,632
269,132,3,695
270,132,3,790
271,132,3,792
272,132,3,798
273,132,3,836
274,132,3,1063
275,132,3,1064
276,132,3,1065
277,132,3,1066
278,132,3,1067
279,184,3,2683
280,184,3,2687
281,184,3,2692
282,184,3,3027
283,184,3,3405
284,239,3,1985
285,239,3,2087
286,239,3,2130
287,239,3,2131
288,239,3,2133
289,239,3,2170
290,239,3,2171
291,239,3,2264
292,239,3,2397
293,239,3,2399
294,239,3,2401
295,239,3,2438
296,239,3,2439
297,239,3,2444
298,239,3,2480
299,239,3,2494
300,239,3,2512
301,239,3,2517
302,239,3,2522
303,239,3,2553
304,1,3,788
305,1,3,810
306,1,3,827
307,1,3,873
308,1,3,898
309,147,3,2091
310,147,3,2498
311,147,3,2963
312,147,3,2997
313,147,3,2999
314,147,3,3143
315,147,3,3197
316,147,3,3209
317,147,3,3211
318,147,3,3363
319,147,3,3364
320,220,3,546
321,220,3,547
322,220,3,621
323,220,3,794
324,220,3,795
325,220,3,800
326,220,3,811
327,231,3,1093
328,231,3,1094
329,231,3,1095
330,231,3,1097
331,231,3,1098
332,231,3,1099
333,231,3,1100
334,231,3,1101
335,231,3,1102
336,231,3,1262
337,231,3,1355
338,231,3,1356
339,231,3,1381
340,231,3,1405
341,231,3,1451
342,231,3,1453
343,231,3,1454
344,231,3,1459
345,231,3,1460
346,231,3,1550
347,231,3,1627
348,231,3,1631
349,231,3,1633
350,231,3,1635
351,231,3,1679
352,231,3,1680
353,231,3,1684
354,231,3,1686
355,231,3,1693
356,231,3,1704
357,231,3,1716
358,134,3,3442
359,148,3,204
360,148,3,355
361,148,3,357
362,148,3,474
363,240,3,1942
364,240,3,2495
365,142,3,505
366,142,3,565
367,142,3,663
368,142,3,687
369,142,3,688
370,142,3,692
371,142,3,700
372,142,3,722
373,142,3,764
374,142,3,765
375,142,3,889
376,142,3,949
377,142,3,952
378,209,3,3402
379,212,3,2681
380,212,3,2823
381,212,3,2824
382,212,3,2938
383,212,3,3073
384,178,3,847
385,178,3,1184
386,178,3,1185
387,178,3,1266
388,178,3,1267
389,178,3,1349
390,178,3,1385
391,178,3,1386
392,178,3,1398
393,178,3,1399
394,178,3,1400
395,178,3,1464
396,178,3,1475
397,178,3,1483
398,178,3,1719
399,178,3,2686
400,178,3,2835
401,178,3,3079
402,178,3,3282
403,200,3,2678
404,200,3,2679
405,200,3,2680
406,200,3,2803
407,200,3,2825
408,200,3,2920
409,200,3,2923
410,200,3,2976
411,200,3,2979
412,200,3,3010
413,200,3,3013
414,200,3,3014
415,200,3,3066
416,200,3,3067
417,200,3,3069
418,200,3,3178
419,200,3,3180
420,200,3,3343
421,200,3,3370
422,225,3,2674
423,225,3,2802
424,225,3,2826
425,225,3,2837
426,225,3,2838
427,225,3,2921
428,225,3,2940
429,225,3,2977
430,225,3,3009
431,225,3,3011
432,225,3,3080
433,225,3,3326
434,225,3,3327
435,225,3,3377
436,225,3,3416
437,149,3,223
438,188,3,1172
439,188,3,1178
440,188,3,1379
441,188,3,1714
442,188,3,1751
443,158,3,205
444,158,3,208
445,158,3,210
446,158,3,352
447,158,3,354
448,158,3,356
449,158,3,358
450,2,3,3025
451,2,3,3084
452,2,3,3182
453,2,3,3183
454,187,3,521
455,187,3,648
456,191,3,519
457,191,3,542
458,191,3,586
459,191,3,587
460,191,3,609
461,191,3,634
462,177,3,3408
463,197,3,506
464,197,3,508
465,197,3,515
466,197,3,517
467,197,3,518
468,197,3,611
469,197,3,704
470,197,3,705
471,197,3,706
472,197,3,708
473,197,3,709
474,197,3,761
475,197,3,762
476,197,3,772
477,197,3,781
478,197,3,782
479,197,3,793
480,197,3,803
481,197,3,804
482,197,3,825
483,197,3,884
484,197,3,942
485,4,3,985
486,234,3,531
487,6,3,1863
488,6,3,1864
489,6,3,1865
490,6,3,1867
491,6,3,1868
492,6,3,1873
493,6,3,1874
494,6,3,1941
495,6,3,1979
496,6,3,1986
497,6,3,2129
498,6,3,2132
499,6,3,2166
500,6,3,2325
501,6,3,2436
502,6,3,2440
503,6,3,2441
504,6,3,2485
505,6,3,2503
506,6,3,2572
507,6,3,2604
508,6,3,2627
509,5,3,1902
510,5,3,1955
511,5,3,1960
512,5,3,1962
513,5,3,1963
514,5,3,1964
515,5,3,1988
516,5,3,1989
517,5,3,2119
518,5,3,2121
519,5,3,2122
520,5,3,2123
521,5,3,2136
522,5,3,2185
523,5,3,2186
524,5,3,2187
525,5,3,2244
526,5,3,2364
527,5,3,2365
528,5,3,2366
529,5,3,2367
530,5,3,2368
531,5,3,2369
532,5,3,2502
533,5,3,2540
534,5,3,2544
535,5,3,2590
536,5,3,2632
537,8,3,2693
538,8,3,2949
539,8,3,3401
540,9,3,1852
541,9,3,1853
542,9,3,1854
543,9,3,1937
544,9,3,1938
545,9,3,1954
546,9,3,1958
547,9,3,1972
548,9,3,2082
549,9,3,2101
550,9,3,2102
551,9,3,2104
552,9,3,2105
553,9,3,2118
554,9,3,2120
555,9,3,2190
556,9,3,2191
557,9,3,2204
558,9,3,2208
559,9,3,2209
560,9,3,2210
561,9,3,2211
562,9,3,2212
563,9,3,2213
564,9,3,2214
565,9,3,2215
566,9,3,2261
567,9,3,2262
568,9,3,2282
569,9,3,2289
570,9,3,2530
571,9,3,2618
572,9,3,2672
573,9,3,2738
574,9,3,2739
575,9,3,2741
576,9,3,2787
577,9,3,2789
578,9,3,2790
579,9,3,2793
580,9,3,2794
581,9,3,2807
582,9,3,2889
583,9,3,2890
584,9,3,2914
585,9,3,2928
586,9,3,2929
587,9,3,2960
588,9,3,2961
589,9,3,2982
590,9,3,3134
591,9,3,3210
592,9,3,3213
593,9,3,3214
594,9,3,3215
595,9,3,3271
596,235,3,1406
597,235,3,1489
598,235,3,1689
599,235,3,1691
600,235,3,1692
601,10,3,2260
602,10,3,2471
603,10,3,2528
604,10,3,2623
605,10,3,2625
606,10,3,2666
607,11,3,1104
608,189,3,770
609,189,3,771
610,189,3,777
611,189,3,778
612,171,3,1263
613,171,3,1730
614,176,3,530
615,195,3,1268
616,195,3,1291
617,195,3,1322
618,195,3,1675
619,232,3,2103
620,232,3,2541
621,232,3,2543
622,232,3,2550
623,232,3,2613
624,190,3,502
625,190,3,509
626,190,3,594
627,190,3,595
628,190,3,656
629,190,3,662
630,190,3,689
631,190,3,690
632,190,3,734
633,190,3,738
634,190,3,775
635,190,3,807
