WRID,SRC,AMT_AF,D1,D2,SUB,VAR,SUM_AMT
1,3,63,60,304,2,5,3887
2,3,50,60,304,5,14,2130
3,3,50,60,304,1,0,-999
4,3,13,1,365,2,5,3887
5,3,1199,60,304,4,11,12280
6,3,1605,60,304,4,11,12280
7,3,1605,60,304,1,0,-999
8,3,6,1,365,5,14,2130
9,3,2803,60,304,4,11,12280
10,3,2794,60,304,4,11,12280
11,3,272,60,304,3,8,2001
12,5,104,1,365,5,13,24779
13,5,2,60,182,2,4,661
14,5,32,60,213,5,13,24779
15,5,104,1,365,5,13,24779
16,5,5,60,213,1,1,209
17,5,1,91,365,2,4,661
18,5,124,32,365,5,13,24779
19,5,31,1,365,5,13,24779
20,5,35,60,304,2,4,661
21,5,13,121,244,1,1,209
22,5,9,91,213,3,7,101
23,5,50,60,274,1,1,209
24,5,3,91,244,2,4,661
25,5,194,1,258,5,13,24779
26,5,14,91,213,1,1,209
27,5,1,91,244,1,1,209
28,5,24,32,335,5,13,24779
29,5,45,60,244,5,13,24779
30,5,30,60,244,1,1,209
31,1,29,1,365,3,9,2300
32,1,21,1,365,3,9,2300
33,1,45,60,213,3,9,2300
34,1,23,60,274,3,9,2300
35,1,98,1,365,3,9,2300
36,1,72,1,365,3,9,2300
37,1,12,60,244,3,9,2300
38,1,51,1,365,3,9,2300
39,1,20,32,244,3,9,2300
40,1,21,1,365,3,9,2300
41,1,69,32,244,3,9,2300
42,1,50,91,365,1,3,700
43,1,24,60,365,1,3,700
44,1,37,60,244,1,3,700
45,1,46,91,244,1,3,700
46,1,13,91,213,1,3,700
47,1,56,1,274,1,3,700
48,1,4,91,305,1,3,700
49,1,66,1,258,1,3,700
50,1,33,32,166,1,3,700
51,1,18,60,166,1,3,700
52,1,11,1,365,1,3,700
53,1,17,60,293,1,3,700
54,1,11,91,213,1,3,700
55,1,25,60,152,1,3,700
56,1,63,60,244,1,3,700
57,1,18,60,304,4,12,236
58,1,45,91,182,1,3,700
59,1,77,60,182,3,9,2300
60,5,47,1,365,5,13,24779
61,5,74,1,365,2,4,661
62,1,120,1,365,3,9,2300
63,5,29,1,365,2,4,661
64,1,2,1,365,1,3,700
65,1,15,1,365,1,3,700
66,1,40,1,365,1,3,700
67,1,5,1,365,3,9,2300
68,5,40,1,365,2,4,661
69,5,14,1,365,2,4,661
70,1,32,1,365,3,9,2300
71,1,20,1,365,1,3,700
72,5,12,1,365,2,4,661
73,1,18,1,365,2,6,18
74,3,30,60,304,2,5,3887
75,5,9,1,365,2,4,661
76,1,11,1,365,4,12,236
77,1,14,1,365,4,12,236
78,1,24,1,365,4,12,236
79,3,11,60,304,5,14,2130
80,1,25,1,365,4,12,236
81,1,20,1,365,4,12,236
82,3,20,60,304,2,5,3887
83,3,6,60,304,2,5,3887
84,5,5,1,365,2,4,661
85,3,5,60,304,5,14,2130
86,3,10,60,304,5,14,2130
87,3,14,60,304,3,8,2001
88,3,12,60,304,2,5,3887
89,3,53,60,304,2,5,3887
90,3,53,60,304,1,0,-999
91,3,58,60,304,5,14,2130
92,1,43,1,365,3,9,2300
93,1,9,1,365,3,9,2300
94,3,169,60,304,2,5,3887
95,3,169,60,304,1,0,-999
96,1,25,1,365,1,3,700
97,1,3,1,365,1,3,700
98,3,73,60,304,3,8,2001
99,3,68,60,304,3,8,2001
100,3,22,60,304,4,11,12280
