DATE,TMAX,TMIN
1/1/1940,2.2,-2.2
1/2/1940,3.9,-1.7
1/3/1940,10,-0.6
1/4/1940,6.1,0
1/5/1940,6.1,-1.1
1/6/1940,1.1,-5.6
1/7/1940,0.6,-4.4
1/8/1940,0.6,-3.3
1/9/1940,2.8,-5.6
1/10/1940,6.1,-4.4
1/11/1940,5,-10.6
1/12/1940,1.7,-5.6
1/13/1940,4.4,-3.3
1/14/1940,4.4,-2.8
1/15/1940,8.3,-2.2
1/16/1940,10.6,3.9
1/17/1940,12.2,2.2
1/18/1940,2.2,-6.7
1/19/1940,-3.3,-5.6
1/20/1940,-0.6,-5.6
1/21/1940,-2.8,-6.1
1/22/1940,-2.8,-6.7
1/23/1940,-1.1,-5.6
1/24/1940,-3.3,-10
1/25/1940,-3.3,-10
1/26/1940,-0.6,-8.9
1/27/1940,12.8,-4.4
1/28/1940,3.3,-3.3
1/29/1940,2.8,-2.8
1/30/1940,3.3,-0.6
1/31/1940,2.2,-2.2
2/1/1940,-0.6,-5
2/2/1940,2.2,-5
2/3/1940,1.1,-2.8
2/4/1940,8.9,-1.7
2/5/1940,10,3.9
2/6/1940,11.7,5
2/7/1940,7.2,4.4
2/8/1940,8.9,1.7
2/9/1940,11.1,5.6
2/10/1940,11.1,2.8
2/11/1940,7.2,-1.1
2/12/1940,7.2,-1.7
2/13/1940,8.3,4.4
2/14/1940,4.4,1.1
2/15/1940,7.8,1.1
2/16/1940,6.7,1.1
2/17/1940,4.4,1.1
2/18/1940,7.8,1.1
2/19/1940,8.9,-1.1
2/20/1940,8.9,-2.2
2/21/1940,3.9,-2.8
2/22/1940,3.9,-1.1
2/23/1940,8.9,-1.1
2/24/1940,7.2,-0.6
2/25/1940,15,1.1
2/26/1940,14.4,3.3
2/27/1940,13.9,3.3
2/28/1940,15,4.4
2/29/1940,12.2,3.9
3/1/1940,11.1,2.2
3/2/1940,10,2.8
3/3/1940,13.9,-0.6
3/4/1940,15,3.3
3/5/1940,10,1.7
3/6/1940,10,0.6
3/7/1940,15,4.4
3/8/1940,9.4,-0.6
3/9/1940,6.1,-1.7
3/10/1940,7.8,-2.8
3/11/1940,7.2,-2.8
3/12/1940,11.1,-1.1
3/13/1940,16.7,-1.1
3/14/1940,17.8,3.9
3/15/1940,20.6,10
3/16/1940,11.1,4.4
3/17/1940,12.2,-1.1
3/18/1940,13.3,-1.1
3/19/1940,17.2,-0.6
3/20/1940,19.4,2.8
3/21/1940,20,2.2
3/22/1940,20,2.8
3/23/1940,20.6,2.8
3/24/1940,20.6,3.9
3/25/1940,14.4,6.7
3/26/1940,13.9,7.8
3/27/1940,12.8,3.9
3/28/1940,13.3,1.7
3/29/1940,16.1,5
3/30/1940,13.3,4.4
3/31/1940,8.3,5.6
4/1/1940,8.3,4.4
4/2/1940,11.7,3.3
4/3/1940,12.8,1.7
4/4/1940,12.8,2.8
4/5/1940,11.1,2.2
4/6/1940,14.4,1.1
4/7/1940,17.2,6.7
4/8/1940,17.2,3.3
4/9/1940,15,3.9
4/10/1940,10,4.4
4/11/1940,15,3.3
4/12/1940,17.8,4.4
4/13/1940,21.1,7.8
4/14/1940,18.9,2.8
4/15/1940,12.8,3.9
4/16/1940,13.3,0.6
4/17/1940,16.1,5
4/18/1940,22.2,5
4/19/1940,17.8,3.3
4/20/1940,15.6,3.9
4/21/1940,13.9,-0.6
4/22/1940,16.1,1.7
4/23/1940,18.3,6.1
4/24/1940,13.9,2.8
4/25/1940,14.4,5
4/26/1940,13.3,2.2
4/27/1940,14.4,3.3
4/28/1940,13.9,7.2
4/29/1940,12.2,1.7
4/30/1940,12.8,1.7
5/1/1940,15.6,6.7
5/2/1940,24.4,7.2
5/3/1940,12.8,3.3
5/4/1940,18.3,6.1
5/5/1940,15.6,4.4
5/6/1940,14.4,0.6
5/7/1940,16.1,4.4
5/8/1940,19.4,6.1
5/9/1940,21.7,12.2
5/10/1940,25.6,10.6
5/11/1940,22.2,10.6
5/12/1940,20,6.7
5/13/1940,17.2,2.2
5/14/1940,20,10
5/15/1940,20,2.8
5/16/1940,17.2,2.8
5/17/1940,18.9,3.9
5/18/1940,20,6.1
5/19/1940,25.6,12.2
5/20/1940,22.2,3.9
5/21/1940,20.6,6.7
5/22/1940,24.4,8.9
5/23/1940,27.8,12.2
5/24/1940,28.9,12.2
5/25/1940,25.6,8.9
5/26/1940,16.1,0
5/27/1940,15.6,0.6
5/28/1940,19.4,5
5/29/1940,23.9,7.2
5/30/1940,27.2,12.8
5/31/1940,26.7,7.2
6/1/1940,21.7,10
6/2/1940,18.3,8.3
6/3/1940,19.4,7.2
6/4/1940,21.1,13.3
6/5/1940,19.4,5.6
6/6/1940,20.6,5
6/7/1940,21.7,8.9
6/8/1940,17.2,4.4
6/9/1940,25.6,7.2
6/10/1940,27.8,11.1
6/11/1940,32.2,12.2
6/12/1940,33.9,14.4
6/13/1940,33.9,8.3
6/14/1940,25,7.2
6/15/1940,26.1,8.3
6/16/1940,29.4,8.3
6/17/1940,27.2,9.4
6/18/1940,28.9,11.7
6/19/1940,31.7,16.7
6/20/1940,30.6,8.9
6/21/1940,22.8,4.4
6/22/1940,22.8,6.1
6/23/1940,26.7,8.3
6/24/1940,28.9,12.2
6/25/1940,34.4,20
6/26/1940,28.9,7.8
6/27/1940,26.1,15
6/28/1940,23.9,8.3
6/29/1940,30,12.2
6/30/1940,30,16.7
7/1/1940,30.6,13.9
7/2/1940,32.2,13.9
7/3/1940,27.8,11.7
7/4/1940,29.4,13.3
7/5/1940,28.3,12.2
7/6/1940,27.8,7.2
7/7/1940,26.7,8.3
7/8/1940,28.9,11.1
7/9/1940,28.9,12.2
7/10/1940,26.1,10.6
7/11/1940,30,13.3
7/12/1940,32.8,14.4
7/13/1940,32.2,10.6
7/14/1940,27.8,11.1
7/15/1940,28.9,14.4
7/16/1940,27.8,15
7/17/1940,26.1,7.2
7/18/1940,25,8.9
7/19/1940,26.1,10.6
7/20/1940,28.3,13.9
7/21/1940,26.1,9.4
7/22/1940,25,11.7
7/23/1940,29.4,13.9
7/24/1940,30,10.6
7/25/1940,26.1,12.8
7/26/1940,23.3,12.8
7/27/1940,18.9,11.7
7/28/1940,21.7,12.8
7/29/1940,23.3,12.2
7/30/1940,25.6,11.7
7/31/1940,22.2,8.3
8/1/1940,23.3,9.4
8/2/1940,22.8,8.3
8/3/1940,25,8.9
8/4/1940,26.1,9.4
8/5/1940,26.1,9.4
8/6/1940,28.3,12.8
8/7/1940,32.8,15.6
8/8/1940,31.1,11.1
8/9/1940,31.7,13.9
8/10/1940,28.3,8.9
8/11/1940,26.7,10
8/12/1940,31.1,13.9
8/13/1940,25.6,5.6
8/14/1940,23.3,8.9
8/15/1940,24.4,10
8/16/1940,25,8.9
8/17/1940,27.8,10
8/18/1940,29.4,12.8
8/19/1940,32.8,13.3
8/20/1940,32.2,13.3
8/21/1940,30.6,8.3
8/22/1940,24.4,9.4
8/23/1940,26.1,9.4
8/24/1940,26.1,10.6
8/25/1940,27.2,11.1
8/26/1940,28.9,11.7
